Model,Device number,Seqlen,Pipeline parallelism,Tensor parallelism,Phase,Total Latency (s),Throughput (tokens/s),Energy per Token (mJ),Total power (W)
Llama2-7B,20,4096,32,1,end2end,23.703947551428573,5733.018335213325,71.89510444142248,475.70938028703
Llama2-7B,20,4096,32,1,prefill,2.1310405479285714,7694.53913551188,63.83191383790653,554.8557956859506
Llama2-7B,32,4096,1,32,decoding,7.210519870500001,513.8321110562629,295.7515959094791,283.2691658139638
Llama2-7B,32,4096,1,32,end2end,7.879958892,545.3261474347645,295.117185557385,306.61472340111635
Llama2-7B,32,4096,1,32,prefill,0.6694390214999999,765.7844020842749,290.6763130927264,470.033626511184
Llama2-7B,32,4096,2,16,decoding,7.171602981124999,1033.631720168027,171.9238999822403,319.0097302251896
Llama2-7B,32,4096,2,16,end2end,7.835482447,1097.4811913122596,171.31024751785543,343.45266554438274
Llama2-7B,32,4096,2,16,prefill,0.663879465875,1544.42748932189,167.01468026716134,514.5532127787352
Llama2-7B,32,4096,4,8,decoding,7.236827785875001,2047.3407384829425,100.26306899185408,360.4636448053776
Llama2-7B,32,4096,4,8,end2end,7.910025081000001,2172.172413330157,99.65979547132382,385.5880261683714
Llama2-7B,32,4096,4,8,prefill,0.6731972951249999,3045.9941372606627,95.43688082761196,561.4586957093286
Llama2-7B,32,4096,8,4,decoding,7.959404586250001,3716.366258392506,86.15968677683621,514.636598061087
Llama2-7B,32,4096,8,4,end2end,8.718900126000001,3926.612613714447,85.47879790449304,542.9218175778203
Llama2-7B,32,4096,8,4,prefill,0.75949553975,5398.337100968032,80.71257579809088,740.9183541949533
Llama2-7B,32,4096,16,2,decoding,9.36646442675,6286.192637332969,77.66491166631808,704.2879842788644
Llama2-7B,32,4096,16,2,end2end,10.29311449,6606.201226094467,76.82100788245813,732.1571396818038
Llama2-7B,32,4096,16,2,prefill,0.92665006325,8846.261347424947,70.9136813954386,927.24122750238
Llama2-7B,32,4096,32,1,decoding,11.587918584124996,10118.129168502885,76.59391394097806,925.9422372846296
Llama2-7B,32,4096,32,1,end2end,12.764211191,10595.136848883943,75.42003640652351,947.1518719551932
Llama2-7B,32,4096,32,1,prefill,1.176292606875,13934.190611551368,67.20289366534166,1095.6193146491364
