Model,Device number,Seqlen,Pipeline parallelism,Tensor parallelism,Phase,Total Latency (s),Throughput (tokens/s),Energy per Token (mJ),Total power (W)
Llama2-70B,20,4096,4,5,decoding,4.870530218249998,2943.416703644019,7.1251930382386135,220.52593742614096
Llama2-70B,20,4096,4,5,end2end,5.56632024942857,2943.416703644019,7.092758838692962,219.5220934290612
Llama2-70B,20,4096,4,5,prefill,0.6957900311785713,2943.416703644019,6.865719441873404,212.49518544950192
Llama2-70B,20,4096,5,4,decoding,4.760666936999998,3764.1784727104937,5.7001544305908896,220.52593742614096
Llama2-70B,20,4096,5,4,end2end,5.440762213714286,3764.178472710493,5.6742070709543695,219.5220934290612
Llama2-70B,20,4096,5,4,prefill,0.6800952767142857,3764.178472710493,5.492575553498723,212.49518544950192
Llama2-70B,20,4096,10,2,decoding,4.2967997495,8341.09153077719,2.8500772152954448,220.52593742614096
Llama2-70B,20,4096,10,2,end2end,4.910628285142857,8341.09153077719,2.8371035354771847,219.5220934290612
Llama2-70B,20,4096,10,2,prefill,0.6138285356428571,8341.09153077719,2.7462877767493614,212.49518544950192
Llama2-70B,20,4096,20,1,decoding,3.4056864682500008,21047.15177637374,1.4250386076477224,220.52593742614096
Llama2-70B,20,4096,20,1,end2end,3.892213106571429,21047.15177637374,1.4185517677385924,219.5220934290612
Llama2-70B,20,4096,20,1,prefill,0.4865266383214286,21047.15177637374,1.3731438883746807,212.49518544950192
Llama2-70B,20,4096,80,1,decoding,1.3928422174999997,205852.4622513461,0.4652595544904162,227.51078459189057
Llama2-70B,20,4096,80,1,end2end,1.591819677142857,205852.4622513461,0.4636378445131336,226.7177723780605
Llama2-70B,20,4096,80,1,prefill,0.1989774596428571,205852.4622513461,0.4522858746721557,221.16668688124977
Llama2-70B,32,4096,1,32,decoding,8.051682561999998,445.1243541213021,45.60123544472712,352.84149988182554
Llama2-70B,32,4096,1,32,end2end,9.201922928,445.124354121302,45.393656567634956,351.2353494864977
Llama2-70B,32,4096,1,32,prefill,1.150240366,445.124354121302,43.94060442798978,339.9922967192029
Llama2-70B,32,4096,2,16,decoding,7.880784124499996,909.554161966691,22.80061772236356,352.84149988182554
Llama2-70B,32,4096,2,16,end2end,9.006610427999998,909.554161966691,22.696828283817478,351.2353494864977
Llama2-70B,32,4096,2,16,prefill,1.1258263034999998,909.554161966691,21.97030221399489,339.9922967192029
Llama2-70B,32,4096,4,8,decoding,7.521897405749996,1905.9020918101144,11.40030886118178,352.84149988182554
Llama2-70B,32,4096,4,8,end2end,8.596454177999998,1905.9020918101144,11.348414141908739,351.2353494864977
Llama2-70B,32,4096,4,8,prefill,1.0745567722499998,1905.9020918101144,10.985151106997446,339.9922967192029
Llama2-70B,32,4096,8,4,decoding,7.111741155749997,4031.6427963380056,5.7001544305908896,352.84149988182554
Llama2-70B,32,4096,8,4,end2end,8.127704177999998,4031.6427963380047,5.6742070709543695,351.2353494864977
Llama2-70B,32,4096,8,4,prefill,1.0159630222499998,4031.6427963380047,5.492575553498723,339.9922967192029
Llama2-70B,32,4096,16,2,decoding,6.299973577624997,9102.260397355169,2.8500772152954448,352.84149988182554
Llama2-70B,32,4096,16,2,end2end,7.199969802999999,9102.26039735517,2.8371035354771847,351.2353494864977
Llama2-70B,32,4096,16,2,prefill,0.8999962253749999,9102.26039735517,2.7462877767493614,339.9922967192029
Llama2-70B,32,4096,32,1,decoding,4.740525335437497,24193.09926320973,1.4250386076477224,352.84149988182554
