Model,Device number,Seqlen,Pipeline parallelism,Tensor parallelism,Phase,Total Latency (s),Throughput (tokens/s),Energy per Token (mJ),Total power (W)
Llama2-70B,8,4096,4,2,prefill,5.605715214527778,365.5600560582501,683.2650783871279,272.2244351232425
Llama2-70B,8,4096,8,1,decoding,86.73630711987498,335.3903438924812,743.3833347281071,269.1817376536003
Llama2-70B,8,4096,8,1,end2end,96.251283657,347.28762824616086,733.3533554398493,272.9676526854567
Llama2-70B,8,4096,8,1,prefill,9.514976537125,430.568618721918,663.1435004220434,299.4690579084511
Llama2-70B,8,4096,80,1,decoding,818.8433838276943,354.0131054416856,676.8693423318773,254.7963258590713
Llama2-70B,8,4096,80,1,end2end,911.9047177002222,364.7948954186489,671.4034322231862,258.51827669821
Llama2-70B,8,4096,80,1,prefill,93.06133387252778,440.26742525739263,633.1420614623472,284.5719325721808
Llama2-70B,20,4096,1,20,decoding,34.22771701025,111.95707526529525,1302.893924395872,204.00991409462432
Llama2-70B,20,4096,1,20,end2end,36.78344910885715,123.07653558589652,1295.211006587569,224.11806103653748
Llama2-70B,20,4096,1,20,prefill,2.5557320986071432,200.91275783010565,1241.430581929449,364.8750896299296
Llama2-70B,20,4096,2,10,decoding,37.119138919,204.2443021043451,1042.476775009411,284.8980546784701
Llama2-70B,20,4096,2,10,end2end,40.08793129028571,221.9211425444709,1034.8587256001993,306.8493817204069
Llama2-70B,20,4096,2,10,prefill,2.9687923712857143,345.65902562535206,981.5323797357185,460.5086710139644
Llama2-70B,20,4096,4,5,decoding,43.54040337025,343.9569525900216,914.3856165262804,397.07247684530296
Llama2-70B,20,4096,4,5,end2end,47.36844965742857,367.92308364833775,906.535325499352,418.6197182182805
Llama2-70B,20,4096,4,5,prefill,3.828046287178572,535.6860010565512,851.5832883108532,569.450407829123
Llama2-70B,20,4096,5,4,decoding,44.655184697,418.44541598808144,798.4400117544366,417.12549936766953
Llama2-70B,20,4096,5,4,end2end,48.62312893371429,446.8824405645498,790.5079822949965,438.093584966941
Llama2-70B,20,4096,5,4,prefill,3.967944236714286,645.9416125998282,734.9837760789159,584.8701841618413
Llama2-70B,20,4096,10,2,decoding,58.8357626935,625.5895108470997,752.2639420590358,548.3735207246332
Llama2-70B,20,4096,10,2,end2end,64.67465158114285,657.0611719459476,743.6390841000473,564.8969666100672
Llama2-70B,20,4096,10,2,prefill,5.838888887642858,877.3627996378822,683.2650783871279,680.5610878081062
Llama2-70B,20,4096,20,1,decoding,87.82395360425,827.7905343500867,743.3833347281071,672.9543441340005
Llama2-70B,20,4096,20,1,end2end,97.49430821057145,856.7066142862002,733.3533554398493,682.4191317136415
Llama2-70B,20,4096,20,1,prefill,9.670354606321428,1059.119173838994,663.1435004220434,748.6726447711272
Llama2-70B,20,4096,80,1,decoding,309.72992509750003,936.4114540763964,676.3868054023357,677.0793378301529
Llama2-70B,20,4096,80,1,end2end,344.7090497571429,965.7793302071096,671.1235012627344,687.5490944769244
Llama2-70B,20,4096,80,1,prefill,34.979124659642856,1171.3544631221034,634.2803722855269,760.837391004325
Llama2-70B,32,4096,1,32,decoding,36.472014082,104.16087524558942,1838.7250545870447,296.08611654001373
Llama2-70B,32,4096,1,32,end2end,39.348360048,113.44192115821616,1830.964294699833,327.38332374792753
Llama2-70B,32,4096,1,32,prefill,2.876345966,178.40924254660345,1776.6389754893466,546.4637742033242
Llama2-70B,32,4096,2,16,decoding,37.3869529565,202.6058328502956,1156.615901607796,352.90346589001064
Llama2-70B,32,4096,2,16,end2end,40.394004476,219.93543920807429,1148.9589311591296,385.85452342433433
Llama2-70B,32,4096,2,16,prefill,3.0070515195,341.2426837125254,1095.3601380184657,616.5119261646001
Llama2-70B,32,4096,4,8,decoding,40.130319293750006,374.57907809434266,899.7836524747539,480.7247074278415
Llama2-70B,32,4096,4,8,end2end,43.52928029,403.1966114152,892.1785767453607,515.6712184187475
Llama2-70B,32,4096,4,8,prefill,3.39896099625,603.5193446612009,838.9430466396079,760.2967953550894
Llama2-70B,32,4096,8,4,decoding,47.00625891575,633.295281998809,798.4400117544366,667.4007989882713
Llama2-70B,32,4096,8,4,end2end,51.310070898,673.2185267885875,790.5079822949965,700.9497359471056
Llama2-70B,32,4096,8,4,prefill,4.303811982249999,952.6812403170384,734.9837760789159,935.792294658946
Llama2-70B,32,4096,16,2,decoding,60.838936521625,966.255834369672,752.2639420590358,877.3976331594129
Llama2-70B,32,4096,16,2,end2end,66.96399309899999,1012.7397715234341,743.6390841000473,903.8351465761076
Llama2-70B,32,4096,16,2,prefill,6.125056577374999,1338.127331599767,683.2650783871279,1088.89774049297
Llama2-70B,32,4096,32,1,decoding,89.1587924714375,1304.077274073536,743.3833347281071,1076.7269506144012
Llama2-70B,32,4096,32,1,end2end,99.0198383445,1348.7936363503509,733.3533554398493,1091.8706107418268
Llama2-70B,32,4096,32,1,prefill,9.8610458730625,1661.8081722880563,663.1435004220434,1197.8762316338043
Llama2-70B,32,4096,80,1,decoding,249.69865007262504,1160.8157668201632,698.3742054475459,863.9517931152252
Llama2-70B,32,4096,80,1,end2end,278.135267283,1195.821569872994,692.6621240818401,876.3935035764608
Llama2-70B,32,4096,80,1,prefill,28.436617210375,1440.862191242812,652.6775545218978,963.485476805109
Llama2-7B,8,4096,1,8,decoding,6.087204923083333,617.4024316869985,100.02268026066308,92.73958452261014
Llama2-7B,8,4096,1,8,end2end,6.596170380666666,666.2469539082487,99.4194067401328,99.52612957703737
Llama2-7B,8,4096,1,8,prefill,0.5089654575833333,1008.1586094569996,95.19649209642094,147.0319449580278
Llama2-7B,8,4096,2,4,decoding,6.893521957833333,1084.6105746852825,85.91929804564516,131.61980727933172
Llama2-7B,8,4096,2,4,end2end,7.500748550666668,1160.151713891631,85.23840917330202,139.14457902175363
Llama2-7B,8,4096,2,4,prefill,0.6072265928333332,1688.9396883360728,80.47218706689985,191.8179812187069
Llama2-7B,8,4096,4,2,decoding,8.412235444166665,1761.4761534715246,77.42452293512703,178.9110265961664
Llama2-7B,8,4096,4,2,end2end,9.202567081333331,1865.4989845755872,76.58061915126711,186.2111245749052
Llama2-7B,8,4096,4,2,prefill,0.7903316371666667,2593.6588023040285,70.67329266424758,237.31181042607665
Llama2-7B,8,4096,8,1,decoding,11.574557648833332,2532.584577517453,76.36181551378702,233.6932735447226
Llama2-7B,8,4096,8,1,end2end,12.748941550666666,2652.163059038933,75.18793797933247,239.17426020768653
Llama2-7B,8,4096,8,1,prefill,1.1743839018333333,3489.212429689296,66.97079523815064,277.5411668484342
Llama2-7B,8,4096,32,1,decoding,40.33918725513889,2926.6311505843983,71.32146017300347,236.44695027338147
Llama2-7B,8,4096,32,1,end2end,44.20755637844445,3090.797767615624,70.1805427625813,242.5936726889609
Llama2-7B,8,4096,32,1,prefill,3.868369123305556,4239.964086834195,62.19412088962612,285.6207295980168
Llama2-7B,20,4096,1,20,decoding,6.4376702225,580.690298015772,212.38741825962583,203.63050552528807
Llama2-7B,20,4096,1,20,end2end,6.996702151428572,622.7947024672542,211.76857632331365,220.2236805000705
Llama2-7B,20,4096,1,20,prefill,0.5590319289285713,917.5255336276292,207.4366827691284,336.3759053235476
Llama2-7B,20,4096,2,10,decoding,6.488055625500001,1151.5666604766695,122.81137952164302,227.97463254467743
Llama2-7B,20,4096,2,10,end2end,7.054285469142858,1234.0759557511506,122.20551126514913,245.02826155211443
Llama2-7B,20,4096,2,10,prefill,0.5662298436428571,1811.6410226725177,117.9644334696917,364.4036646041732
Llama2-7B,20,4096,4,5,decoding,7.115923136999999,2094.583553005139,98.75906742138058,312.3868288929783
Llama2-7B,20,4096,4,5,end2end,7.75915308,2231.295372467542,98.09758238699062,331.15309675431354
Llama2-7B,20,4096,4,5,prefill,0.6432299429999999,3188.278108704364,93.46718714626104,462.51697178366
Llama2-7B,20,4096,5,4,decoding,7.2408526869999985,2570.7472932794017,85.91929804564516,329.0495181983294
Llama2-7B,20,4096,5,4,end2end,7.897697955428572,2737.218775233425,85.23840917330202,347.8614475543841
Llama2-7B,20,4096,5,4,prefill,0.6568452684285714,3902.5191489115855,80.47218706689985,479.5449530467672
Llama2-7B,20,4096,10,2,decoding,8.709435965,4243.568554132148,77.42452293512703,447.277566490416
Llama2-7B,20,4096,10,2,end2end,9.54222481942857,4482.249942083639,76.58061915126711,465.5278114372629
Llama2-7B,20,4096,10,2,prefill,0.8327888544285713,6153.019657744073,70.67329266424758,593.2795260651917
Llama2-7B,20,4096,20,1,decoding,11.771497753,6220.833514253048,76.36181551378702,584.2331838618062
Llama2-7B,20,4096,20,1,end2end,12.974015955428571,6508.07739590592,75.18793797933247,597.9356505192161
Llama2-7B,20,4096,20,1,prefill,1.2025182024285714,8518.784567476036,66.97079523815064,693.852917121085
Llama2-7B,20,4096,32,1,decoding,20.8819404755,5643.196484668492,72.80231913564137,471.8779210180723
Llama2-7B,20,4096,32,1,end2end,22.91427151942857,5946.409697326141,71.6504347637105,483.8053074331871
Llama2-7B,20,4096,32,1,prefill,2.032331043928571,8068.902185929682,63.58724416019456,567.2970123389903
