Model,Device number,Seqlen,Pipeline parallelism,Tensor parallelism,Phase,Total Latency (s),Throughput (tokens/s),Energy per Token (mJ),Total power (W)
Llama2-7B,8,4096,2,4,prefill,0.2185279688333332,4692.287621752866,1.9822459150768776,81.21295948364788
Llama2-7B,8,4096,4,2,decoding,2.3051982601666663,6425.158453947251,1.0118808452476555,82.91386801439329
Llama2-7B,8,4096,4,2,end2end,2.519168937333333,6820.140815527242,1.0092861092840035,82.70125444805011
Llama2-7B,8,4096,4,2,prefill,0.2139706771666666,9585.017346587185,0.9911229575384386,81.21295948364788
Llama2-7B,8,4096,8,1,decoding,2.2413961768333333,13242.176927733846,0.5059404226238279,82.91386801439329
Llama2-7B,8,4096,8,1,end2end,2.4462522706666663,14090.098928947296,0.5046430546420018,82.70125444805011
Llama2-7B,8,4096,8,1,prefill,0.2048560938333333,20025.552937441444,0.4955614787692193,81.21295948364788
Llama2-7B,8,4096,32,1,decoding,5.401874487138888,23560.54071935377,0.1672791780320302,87.53489169650985
Llama2-7B,8,4096,32,1,end2end,5.712197402444445,27287.56586033559,0.1669548360365737,87.36516799402084
Llama2-7B,8,4096,32,1,prefill,0.3103229153055555,53376.74184720833,0.1646844420683781,86.17710207659772
